"LONGITUD","LATITUD","CODIGO_COMUNA","SECTOR"
-75.58029342,6.27467058,"07","No Oficial"
-75.59095746,6.28466891,"07","No Oficial"
-75.59705839,6.25540607,"11","No Oficial"
-75.59432838,6.27699793,"07","No Oficial"
-75.59925738,6.21545832,"16","No Oficial"
-75.59009107,6.20045001,"15","No Oficial"
-75.58088982,6.29909625,"06","No Oficial"
-75.60390508,6.22804216,"16","No Oficial"
-75.58469174,6.28322001,"07","No Oficial"
-75.61307933,6.24890614,"12","No Oficial"
-75.59757076,6.27789382,"07","No Oficial"
-75.61764949,6.25662217,"13","No Oficial"
-75.54992502,6.23858696,"09","No Oficial"
-75.60711244,6.23826888,"11","No Oficial"
-75.58286642,6.2738984,"07","No Oficial"
-75.61272938,6.24311916,"12","No Oficial"
-75.61658222,6.23577595,"16","No Oficial"
-75.56263357,6.23610511,"09","No Oficial"
-75.56817558,6.29785791,"05","No Oficial"
-75.5815595,6.30713337,"06","No Oficial"
-75.53588288,6.29712304,"90","No Oficial"
-75.56316303,6.24630199,"10","No Oficial"
-75.58857983,6.28035882,"07","No Oficial"
-75.58727473,6.283053,"07","No Oficial"
-75.58624391,6.2090655,"15","No Oficial"
-75.63518953,6.27751516,"60","No Oficial"
-75.54905283,6.28680047,"01","No Oficial"
-75.58073046,6.30262867,"06","No Oficial"
-75.57431116,6.29199481,"05","No Oficial"
-75.59785986,6.27715335,"07","No Oficial"
-75.61574755,6.25594583,"13","No Oficial"
-75.57564017,6.25381777,"10","No Oficial"
-75.58085515,6.24228623,"11","No Oficial"
-75.59990414,6.23177338,"16","No Oficial"
-75.56150716,6.25221985,"10","No Oficial"
-75.5725186,6.3036715,"06","No Oficial"
-75.56964518,6.30151594,"06","No Oficial"
-75.57571337,6.30237977,"06","No Oficial"
-75.60018629,6.21776629,"16","No Oficial"
-75.58297667,6.22258348,"15","No Oficial"
-75.55970179,6.30443639,"05","No Oficial"
-75.56458131,6.24572165,"10","No Oficial"
-75.5817094,6.28982131,"06","No Oficial"
-75.57506034,6.29934393,"06","No Oficial"
-75.55850111,6.28301245,"04","No Oficial"
-75.56143082,6.24761822,"10","No Oficial"
-75.5595167,6.30553915,"05","No Oficial"
-75.60576818,6.23988751,"11","No Oficial"
-75.60562232,6.2434089,"11","No Oficial"
-75.57163113,6.28847674,"05","No Oficial"
-75.55864833,6.26752467,"04","No Oficial"
-75.55670454,6.26782949,"04","No Oficial"
-75.59593535,6.27644035,"07","No Oficial"
-75.56317258,6.24627652,"10","No Oficial"
-75.61331558,6.26842368,"SN01","No Oficial"
-75.55906417,6.2005772,"14","No Oficial"
-75.57989451,6.27863416,"07","No Oficial"
-75.60098463,6.26627821,"12","No Oficial"
