"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2019-05-11T03:30:00.000-05:00",-75.5716292,6.3027406,"Hombre",21,"Arma de fuego","Parque","Pedregal","DOCE DE OCTUBRE"
"2019-05-11T12:25:00.000-05:00",-75.60983996,6.262958141,"Hombre",34,"Arma de fuego","Vía pública","La Pradera","SAN JAVIER"
"2019-05-11T12:25:00.000-05:00",-75.60983728,6.262963473,"Hombre",21,"Arma de fuego","Vía pública","La Pradera","SAN JAVIER"
"2019-05-11T15:35:00.000-05:00",-75.5617672,6.25388276,"Hombre",27,"Arma de fuego","Vehículo particular","Villa Nueva","LA CANDELARIA"
"2004-05-20T21:00:00.000-05:00",-75.563315,6.246311,"Hombre",45,"Explosivo","Desconocido","La Candelaria","LA CANDELARIA"
"2006-11-06T10:00:00.000-05:00",-75.569388,6.292367,"Hombre",38,"Cortopunzante","Desconocido","Castilla","CASTILLA"
"2005-03-16T21:00:00.000-05:00",-75.562267,6.279154,"Hombre",30,"Arma de fuego","Desconocido","Aranjuez","ARANJUEZ"
"2004-04-06T00:00:00.000-05:00",-75.555015,6.275683,"Hombre",24,"Arma de fuego","Desconocido","Campo Valdés No.1","ARANJUEZ"
"2004-04-08T20:00:00.000-05:00",-75.568083,6.298835,"Hombre",17,"Arma de fuego","Desconocido","Girardot","CASTILLA"
"2004-07-30T23:00:00.000-05:00",-75.630457,6.254066,"Mujer",22,"Arma de fuego","Desconocido","El Salado","SAN JAVIER"
"2005-04-24T21:00:00.000-05:00",-75.564652,6.24931,"Hombre",22,"Contundente","Desconocido","La Candelaria","LA CANDELARIA"
"2005-04-27T09:00:00.000-05:00",-75.583134,6.212633,"Hombre",21,"Arma de fuego","Desconocido","Campo Amor","GUAYABAL"
"2005-04-29T10:00:00.000-05:00",-75.571994,6.310686,"Hombre",29,"Arma de fuego","Desconocido","Santander","DOCE DE OCTUBRE"
"2005-03-19T17:00:00.000-05:00",-75.579684,6.292345,"Hombre",25,"Arma de fuego","Desconocido","San Martín de Porres","DOCE DE OCTUBRE"
"2005-03-20T00:00:00.000-05:00",-75.552788,6.283445,"Hombre",35,"Cortopunzante","Desconocido","Berlín","ARANJUEZ"
"2005-03-26T17:00:00.000-05:00",-75.557713,6.248694,"Hombre",47,"Arma de fuego","Desconocido","Boston","LA CANDELARIA"
"2004-08-08T04:00:00.000-05:00",-75.55125,6.249763,"Mujer",31,"Arma de fuego","Desconocido","Enciso","VILLA HERMOSA"
"2019-05-29T14:00:00.000-05:00",-75.5681909,6.22177082,"Mujer",36,"Cortopunzante","Consultorio médico","Castropol","EL POBLADO"
"2004-05-25T03:00:00.000-05:00",-75.582637,6.28866,"Hombre",45,"Cortopunzante","Desconocido","Kennedy","DOCE DE OCTUBRE"
"2004-05-26T23:00:00.000-05:00",-75.587985,6.295056,"Hombre",21,"Arma de fuego","Desconocido","Picacho","SAN CRISTOBAL"
"2004-10-07T23:00:00.000-05:00",-75.587758,6.247317,"Hombre",44,"Arma de fuego","Desconocido","San Joaquín","LAURELES"
