OBJECTID,Shape,nombre_establecimiento,sede_educativa,nucleo,servicio,sector,direccion,telefono,estado,vigencia,x_origen_nacional,y_origen_nacional,clasificacion,codigo_dane,cons_sede,dane_sede,longitud,latitud,cbml,codigo_comuna,nombre_comuna,codigo_barrio,nombre_barrio
64,"(4716845.917200001, 2249143.1242000014)",Institucion Educativa Javiera Londoño,Seccion Escuela Antonia Santos,928,Oficial,Oficial,CL 50 B 38 11,3122688407,Activo,2024,4716845.9172,2249143.1242,Oficial-Sede,105001001112,10500100156202,105001001562,-75.55992777,6.2485608,10160120020,10,La Candelaria,1016,Boston
65,"(4715940.089100001, 2247847.0374999996)",Institucion Educativa Javiera Londoño,Seccion Escuela Luis Alfonso Agudelo,928,Oficial,Oficial,CR 43 A 38 20,2320633,Activo,2024,4715940.0891,2247847.0375,Oficial-Sede,105001000515,10500100156203,105001001562,-75.56805446,6.23680334,10200270194,10,La Candelaria,1020,San Diego
66,"(4712637.1961, 2247012.507200001)",Institucion Educativa Yermo Y Parres,Institucion Educativa Yermo Y Parres,935,Oficial,Oficial,CL 28 77 84,3471590 - 3433208,Activo,2024,4712637.1961,2247012.5072,Oficial-Principal,105001001635,10500100163501,105001001635,-75.59785653,6.22911243,16030020023,16,Belén,1603,Belén
67,"(4712683.688, 2246882.234000001)",Institucion Educativa Yermo Y Parres,Seccion Escuela Carlos Franco,935,Oficial,Oficial,CL 23 78 48,3432833,Activo,2024,4712683.688,2246882.234,Oficial-Sede,105001001171,10500100163502,105001001635,-75.59743073,6.22793676,16050540025,16,Belén,1605,San Bernardo
68,"(4712538.2157000005, 2246744.0943)",Institucion Educativa Yermo Y Parres,Seccion Escuela Guillermo Valencia,935,Oficial,Oficial,CR 77 25 67,2560941,Activo,2024,4712538.2157,2246744.0943,Oficial-Sede,105001002372,10500100163504,105001001635,-75.59873878,6.22668143,16050540025,16,Belén,1605,San Bernardo
69,"(4717193.9756000005, 2250285.5308000017)",Institucion Educativa Jose Celestino Mutis,Institucion Educativa Jose Celestino Mutis,924,Oficial,Oficial,CL 65 45 15,2540988 -3004128341,Activo,2024,4717193.9756,2250285.5308,Oficial-Principal,105001001651,10500100165101,105001001651,-75.5568334,6.25890436,08020090038,08,Villa Hermosa,0802,La Mansión
70,"(4717748.4621, 2253165.1854999997)",Institucion Educativa Jose Antonio Galan,Institucion Educativa Jose Antonio Galan,916,Oficial,Oficial,CR 44A 93 87,2363000-2143010,Activo,2024,4717748.4621,2253165.1855,Oficial-Principal,105001001660,10500100166001,105001001660,-75.55195038,6.28496318,03010280020,03,Manrique,0301,La Salle
71,"(4716681.114, 2243745.554399999)",Institucion Educativa Santa Catalina De Siena,Institucion Educativa Santa Catalina De Siena,932,Oficial,Oficial,CL 1 # 29 - 300,3541437 - 2667989,Activo,2024,4716681.114,2243745.5544,Oficial-Principal,105001001716,10500100171601,105001001716,-75.56118021,6.19975538,14090040020,14,El Poblado,1409,El Tesoro
72,"(4713820.260000002, 2251440.828400003)",Institucion Educativa Monseñor Gerardo Valencia Cano,Institucion Educativa Monseñor Gerardo Valencia Cano,923,Oficial,Oficial,CL 65 74 B 273,3666408 - 3002076895,Activo,2024,4713820.26,2251440.8284,Oficial-Principal,105001001791,10500100179101,105001001791,-75.58736544,6.26919953,07030020033,07,Robledo,0703,San Germán
73,"(4713642.905500001, 2253539.486199999)",Institucion Educativa Monseñor Gerardo Valencia Cano,Seccion Escuela La Portada,923,Oficial,Oficial,CL 80C  88A 37,2300113 - 3666408,Activo,2024,4713642.9055,2253539.4862,Oficial-Sede,105001021075,10500100179102,105001001791,-75.58906157,6.28816464,07120180001,07,Robledo,0712,Aures No.2
